Model 7002.torch PR Points
Model 7001.torch PR Points
p = 0.5353535353535354, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.5454545454545455, LR (P, R) = (0.014913740565374338, 1.0), L2 (P, R) = (0.014913740565374338, 1.0)
p = 0.5555555555555556, LR (P, R) = (0.014914614564165075, 1.0), L2 (P, R) = (0.014914614564165075, 1.0)
p = 0.5656565656565657, LR (P, R) = (0.014914614564165075, 1.0), L2 (P, R) = (0.014914614564165075, 1.0)
p = 0.5757575757575758, LR (P, R) = (0.014914614564165075, 1.0), L2 (P, R) = (0.014914614564165075, 1.0)
p = 0.5858585858585859, LR (P, R) = (0.014914614564165075, 1.0), L2 (P, R) = (0.014914614564165075, 1.0)
p = 0.595959595959596, LR (P, R) = (0.014914614564165075, 1.0), L2 (P, R) = (0.014914614564165075, 1.0)
p = 0.6060606060606061, LR (P, R) = (0.014919598313997456, 1.0), L2 (P, R) = (0.014919598313997456, 1.0)
p = 0.6161616161616162, LR (P, R) = (0.014919598313997456, 1.0), L2 (P, R) = (0.014919598313997456, 1.0)
p = 0.6262626262626263, LR (P, R) = (0.014919598313997456, 1.0), L2 (P, R) = (0.014919598313997456, 1.0)
p = 0.6363636363636365, LR (P, R) = (0.014919598313997456, 1.0), L2 (P, R) = (0.014919598313997456, 1.0)
p = 0.6464646464646465, LR (P, R) = (0.014919598313997456, 1.0), L2 (P, R) = (0.014919598313997456, 1.0)
p = 0.6565656565656566, LR (P, R) = (0.014945795797559343, 1.0), L2 (P, R) = (0.014945795797559343, 1.0)
p = 0.6666666666666667, LR (P, R) = (0.014945795797559343, 1.0), L2 (P, R) = (0.014945795797559343, 1.0)
p = 0.6767676767676768, LR (P, R) = (0.014945795797559343, 1.0), L2 (P, R) = (0.014945795797559343, 1.0)
p = 0.686868686868687, LR (P, R) = (0.014945795797559343, 1.0), L2 (P, R) = (0.014945795797559343, 1.0)
p = 0.696969696969697, LR (P, R) = (0.014945795797559343, 1.0), L2 (P, R) = (0.014945795797559343, 1.0)
